Time	Message
2016-07-13 08:04:57	[secure] oOoOellaOoOo: @StlQichi  @Osmooond  @Hyvaras  @Chenodi  @oldjohnh  @hzjlyz  @wswq  @scott789  @huisd007  @Ereebay 欢迎加入绿军！浙江绿军新手交流qq群：348632822，入群请报完整游戏ID。  
2016-07-18 02:21:12	[secure] WYYAN: @boomjiu @mlcoca @LeAfD @hzjlyz @GuestHolder 欢迎加入绿军！浙江绿军新手交流qq群：348632822；杭州绿军总群：159013538。入群请报完整游戏ID。
2016-07-28 00:14:37	[secure] oOoOellaOoOo: @SatenZ  @hzjlyz 欢迎加入绿军！浙江绿军新手交流qq群：348632822，入群请报完整游戏ID。
2016-08-06 06:43:26	xxxxxie: @hzjlyz 行啊
2016-08-06 06:44:17	ZxTon: @hzjlyz  @hzjlyz 亭子是吧？
2016-08-06 06:44:18	xxxxxie: @hzjlyz 内人在外地，你随意
2016-09-01 04:57:41	[secure] xxxxxie: @hzjlyz 嗯 
2016-09-01 04:58:09	[secure] xxxxxie: @hzjlyz 快走了
2016-10-02 02:20:48	[secure] IllllIIIIIIIII: @hzjlyz Hi
2016-10-02 02:23:51	[secure] IllllIIIIIIIII: @hzjlyz 乡下人而已，哪来的大佬😂
2016-11-18 02:40:45	[secure] Icount2three: @hzjlyz 欢迎大佬来上海上学
2016-11-18 02:43:52	[secure] flz: @hzjlyz 快快刷AP达到上海萌新门槛
2016-11-18 02:43:53	[secure] Icount2three: @hzjlyz 上线即大佬 
2016-11-18 02:47:02	[secure] flz: @hzjlyz 8级吧，反正我是萌新😁
2016-11-18 02:49:09	[secure] Icount2three: @hzjlyz 算大佬啊 8级以后算萌新
2016-11-18 02:51:07	[secure] flz: @hzjlyz 哈哈这叫上海萌新门槛
2016-11-18 04:36:49	marridG: @hzjlyz 常驻艺术公园传奇广场？下午去刷了一波AP清仓了
2016-12-17 22:28:15	[secure] saintwinkle: @hzjlyz 刚到西湖文化广场… 
2016-12-17 22:30:44	[secure] SantaShuiguai: @hzjlyz 奶一副任务最后一个可以选蒋委头像那个任务
2016-12-17 22:31:05	[secure] saintwinkle: @hzjlyz 我都不知道自己在哪里…
2016-12-17 22:33:46	[secure] SantaShuiguai: @hzjlyz 哈哈哈
2016-12-17 22:40:40	[secure] SantaShuiguai: @hzjlyz 你就跟着箭头方向走就好了
2016-12-17 22:42:32	[secure] SantaShuiguai: @hzjlyz 额…那就比较麻烦 看运动轨迹吧
2016-12-17 22:56:08	[secure] SantaShuiguai: @hzjlyz 奶一副坐坐还挺快的啊 而且路线也还行 
2016-12-17 22:57:44	[secure] SantaShuiguai: @hzjlyz 噗 没事 习惯就好 我也不太准
2017-01-26 23:09:07	[secure] 101k10: @Davidyz 新年好
2017-02-04 21:04:00	Ball2cube: @Davidyz 嘉里边上～面吗～
2017-02-04 21:04:33	[secure] Ball2cube: @Davidyz 嘉里中心边上 有机会面？～～
2017-03-12 00:55:18	[secure] fukkix: @Davidyz 已回京（
2017-03-28 06:56:07	J0NIp: @Davidyz  谢谢 这是 广告…？
2017-04-29 04:10:39	sakura1r0ha: @Davidyz 终于有绿军来炸了😂
2017-04-29 19:24:28	[secure] Ruxue: @Dav @Davidyz 路过路过
2017-05-04 03:52:07	[secure] elpsycongroo0: @Davidyz 刚刚没看到。。
2017-05-04 03:52:53	[secure] elpsycongroo0: @Davidyz 还在医学院这边
2017-05-04 03:54:04	[secure] elpsycongroo0: @Davidyz 好的
2017-05-06 05:26:34	DeepAQ: @Davidyz 山羊雕塑这个po
2017-05-13 23:17:17	makakqo: @Davidyz 是呀 
2017-05-13 23:22:01	makakqo: @Davidyz 我在8号候车室 52分的车 哈哈 你也在站里么
2017-05-13 23:23:20	makakqo: @Davidyz 哈哈哈
2017-05-13 23:35:32	piggysquad: @Davidyz 我也进站了
2017-05-13 23:38:56	piggysquad: @Davidyz  我来了 我走了 再见朋友有缘再见
2017-05-13 23:41:35	piggysquad: @Davidyz 你几号车 
2017-05-13 23:42:14	piggysquad: @Davidyz  makakqo vpn失灵了
2017-05-13 23:42:33	piggysquad: @Davidyz 我们在8
2017-05-13 23:47:30	piggysquad: @Davidyz 👌
2017-05-27 22:07:58	[secure] SCHTR: @Davidyz tg群怎么加
2017-05-27 22:13:12	[secure] SCHTR: @Davidyz username: SCHTR
2017-05-27 22:21:31	[secure] SCHTR: @Davidyz 你在拉我一下吗？
2017-05-27 22:23:22	[secure] SCHTR: @Davidyz 能再拉我一下吗？
2017-05-27 22:25:34	[secure] SCHTR: @Davidyz 对不起，好像误点了？迷~
