Time	Value
2016-07-21 01:34:11 PDT	1.0
2016-08-09 04:07:52 PDT	1.0
2016-08-09 04:17:09 PDT	1.0
2016-08-20 18:09:44 PDT	6.0
2016-08-27 00:28:33 PDT	2.0
2016-08-27 00:44:27 PDT	2.0
2016-09-10 19:21:56 PDT	2.0
2016-09-10 19:22:01 PDT	1.0
2016-09-29 04:00:34 PDT	3.0
2016-09-29 04:01:15 PDT	2.0
2016-11-12 05:04:25 PST	1.0
2016-11-22 02:56:12 PST	2.0
2016-11-22 02:59:33 PST	4.0
2016-11-22 03:00:55 PST	1.0
2016-11-26 21:46:34 PST	5.0
2016-12-01 03:06:36 PST	1.0
2016-12-01 03:06:45 PST	3.0
2016-12-01 03:13:03 PST	1.0
2016-12-30 18:03:37 PST	2.0
2017-01-07 23:13:39 PST	1.0
2017-01-20 02:33:11 PST	2.0
2017-01-22 20:24:43 PST	2.0
2017-01-24 01:22:53 PST	1.0
2017-01-24 01:34:59 PST	1.0
2017-01-24 01:35:04 PST	1.0
2017-01-24 01:36:48 PST	4.0
2017-01-25 20:59:40 PST	2.0
2017-01-25 21:23:47 PST	1.0
2017-01-25 21:28:51 PST	3.0
2017-01-25 21:32:14 PST	2.0
2017-01-25 22:26:57 PST	3.0
2017-01-26 00:00:57 PST	1.0
2017-01-26 01:56:25 PST	7.0
2017-01-26 01:56:32 PST	2.0
2017-01-26 06:15:40 PST	4.0
2017-01-26 06:15:53 PST	2.0
2017-01-26 06:15:58 PST	2.0
2017-01-26 06:17:16 PST	3.0
2017-01-26 06:17:21 PST	1.0
2017-01-26 06:30:36 PST	11.0
2017-01-26 19:37:35 PST	2.0
2017-01-26 21:25:19 PST	9.0
2017-01-26 23:12:30 PST	3.0
2017-02-04 20:31:35 PST	5.0
2017-02-04 20:31:37 PST	1.0
2017-02-04 20:45:01 PST	7.0
2017-02-06 17:26:18 PST	2.0
2017-02-07 03:01:23 PST	5.0
2017-02-07 03:08:53 PST	2.0
2017-02-07 20:48:38 PST	1.0
2017-02-07 21:43:15 PST	3.0
2017-02-07 21:48:47 PST	2.0
2017-02-08 01:33:24 PST	3.0
2017-02-18 23:02:48 PST	1.0
2017-02-25 04:02:18 PST	5.0
2017-02-25 04:04:15 PST	1.0
2017-02-25 04:21:24 PST	2.0
2017-02-25 04:21:45 PST	2.0
2017-02-25 18:42:37 PST	4.0
2017-02-25 18:57:10 PST	1.0
2017-02-25 22:13:56 PST	1.0
2017-03-03 03:03:01 PST	2.0
2017-03-11 03:11:42 PST	1.0
2017-03-11 03:11:52 PST	1.0
2017-03-11 03:12:03 PST	2.0
2017-03-11 22:17:50 PST	1.0
2017-03-19 02:20:28 PDT	4.0
2017-03-19 02:20:32 PDT	1.0
2017-03-24 17:21:33 PDT	7.0
2017-03-24 22:35:30 PDT	1.0
2017-03-25 04:23:11 PDT	3.0
2017-03-25 17:28:22 PDT	1.0
2017-03-25 17:32:39 PDT	3.0
2017-03-25 22:01:57 PDT	1.0
2017-04-01 03:59:11 PDT	2.0
2017-04-01 03:59:20 PDT	1.0
2017-04-01 04:05:08 PDT	1.0
2017-04-02 05:26:42 PDT	1.0
2017-04-02 17:16:42 PDT	28.0
2017-04-03 02:22:17 PDT	1.0
2017-04-03 22:12:51 PDT	2.0
2017-04-03 22:13:06 PDT	1.0
2017-04-03 22:35:34 PDT	4.0
2017-04-03 23:46:30 PDT	5.0
2017-04-03 23:46:43 PDT	3.0
2017-04-03 23:47:59 PDT	1.0
2017-04-07 22:27:52 PDT	1.0
2017-04-08 04:45:48 PDT	1.0
2017-04-08 04:47:37 PDT	2.0
2017-04-08 04:55:37 PDT	2.0
2017-04-21 22:38:45 PDT	1.0
2017-04-22 18:19:01 PDT	1.0
2017-04-22 18:19:22 PDT	2.0
2017-04-22 18:19:34 PDT	2.0
2017-04-22 18:20:58 PDT	2.0
2017-04-22 18:52:47 PDT	3.0
2017-04-22 18:58:13 PDT	2.0
2017-04-29 03:05:04 PDT	1.0
2017-04-29 03:11:52 PDT	1.0
2017-04-29 04:09:03 PDT	4.0
2017-04-29 04:18:46 PDT	7.0
2017-04-29 18:39:51 PDT	6.0
2017-04-29 18:46:10 PDT	2.0
2017-04-29 19:32:53 PDT	1.0
2017-04-29 19:33:40 PDT	2.0
2017-04-30 19:11:21 PDT	12.0
2017-04-30 19:16:51 PDT	1.0
2017-05-03 05:00:00 PDT	1.0
2017-05-03 19:17:59 PDT	1.0
2017-05-04 18:27:04 PDT	3.0
2017-05-04 18:28:42 PDT	1.0
2017-05-04 18:36:41 PDT	1.0
2017-05-04 19:17:42 PDT	48.0
2017-05-04 19:43:47 PDT	7.0
2017-05-04 20:19:04 PDT	2.0
2017-05-04 20:37:36 PDT	3.0
2017-05-05 05:32:49 PDT	1.0
2017-05-05 05:35:26 PDT	1.0
2017-05-05 05:39:00 PDT	3.0
2017-05-05 05:58:30 PDT	1.0
2017-05-05 05:58:40 PDT	3.0
2017-05-05 05:58:45 PDT	8.0
2017-05-05 06:22:34 PDT	4.0
2017-05-05 06:22:47 PDT	3.0
2017-05-05 06:22:55 PDT	3.0
2017-05-05 06:26:16 PDT	1.0
2017-05-05 06:27:02 PDT	5.0
2017-05-05 06:30:24 PDT	2.0
2017-05-05 06:48:45 PDT	1.0
2017-05-05 06:52:00 PDT	1.0
2017-05-06 20:13:45 PDT	2.0
2017-05-06 21:35:17 PDT	2.0
