Time	Value
2016-07-25 05:09:41 PDT	2.0
2016-07-25 05:26:56 PDT	4.0
2016-07-25 05:30:11 PDT	1.0
2016-07-26 03:41:13 PDT	4.0
2016-07-26 04:22:38 PDT	4.0
2016-07-26 04:26:57 PDT	4.0
2016-07-26 04:29:01 PDT	4.0
2016-07-26 04:29:55 PDT	4.0
2016-07-26 21:34:19 PDT	4.0
2016-07-27 03:39:40 PDT	1.0
2016-07-27 03:56:38 PDT	4.0
2016-07-27 04:05:07 PDT	1.0
2016-07-28 03:48:16 PDT	4.0
2016-07-29 04:18:11 PDT	4.0
2016-07-29 04:57:01 PDT	4.0
2016-07-30 18:30:41 PDT	1.0
2016-07-30 19:41:17 PDT	4.0
2016-07-30 19:44:42 PDT	4.0
2016-07-30 19:46:45 PDT	4.0
2016-07-30 19:50:41 PDT	4.0
2016-07-30 19:53:17 PDT	4.0
2016-07-30 20:01:36 PDT	4.0
2016-07-31 18:45:26 PDT	4.0
2016-07-31 18:49:13 PDT	4.0
2016-07-31 18:53:26 PDT	1.0
2016-07-31 18:58:47 PDT	4.0
2016-07-31 19:00:30 PDT	4.0
2016-07-31 19:04:43 PDT	1.0
2016-07-31 19:05:15 PDT	2.0
2016-07-31 19:07:30 PDT	4.0
2016-07-31 19:10:43 PDT	4.0
2016-07-31 19:16:18 PDT	4.0
2016-07-31 19:19:01 PDT	4.0
2016-07-31 19:20:36 PDT	4.0
2016-07-31 19:21:36 PDT	4.0
2016-07-31 19:23:29 PDT	4.0
2016-07-31 19:26:46 PDT	4.0
2016-07-31 19:29:55 PDT	2.0
2016-07-31 19:30:38 PDT	4.0
2016-07-31 19:31:25 PDT	4.0
2016-07-31 19:37:18 PDT	4.0
2016-07-31 19:43:06 PDT	4.0
2016-08-02 00:40:50 PDT	4.0
2016-08-04 00:31:48 PDT	4.0
2016-08-04 03:39:41 PDT	4.0
2016-08-05 00:37:43 PDT	4.0
2016-08-06 19:12:31 PDT	4.0
2016-08-06 19:16:53 PDT	4.0
2016-08-06 20:09:01 PDT	4.0
2016-08-06 20:09:53 PDT	4.0
2016-08-06 20:11:57 PDT	4.0
2016-08-09 03:47:34 PDT	4.0
2016-08-09 03:49:17 PDT	4.0
2016-08-09 04:25:31 PDT	4.0
2016-08-09 04:27:45 PDT	4.0
2016-08-10 19:36:35 PDT	4.0
2016-08-11 03:06:02 PDT	8.0
2016-08-12 03:06:04 PDT	8.0
2016-08-13 20:51:51 PDT	4.0
2016-08-15 04:37:20 PDT	4.0
2016-08-15 04:38:23 PDT	4.0
2016-08-15 04:40:06 PDT	4.0
2016-08-16 00:36:33 PDT	8.0
2016-08-17 00:37:45 PDT	4.0
2016-08-19 04:31:26 PDT	8.0
2016-08-19 04:32:34 PDT	8.0
2016-08-20 04:59:14 PDT	4.0
2016-08-20 04:59:53 PDT	4.0
2016-08-20 05:11:59 PDT	4.0
2016-08-20 05:12:32 PDT	4.0
2016-08-20 05:30:58 PDT	4.0
2016-08-20 05:36:44 PDT	4.0
2016-08-20 05:59:51 PDT	4.0
2016-08-20 06:00:33 PDT	4.0
2016-08-20 06:08:25 PDT	4.0
2016-08-20 06:09:33 PDT	8.0
2016-08-20 19:58:39 PDT	4.0
2016-08-20 20:01:48 PDT	4.0
2016-08-20 20:02:46 PDT	4.0
2016-08-20 20:31:10 PDT	4.0
2016-08-26 03:59:47 PDT	4.0
2016-08-26 04:01:17 PDT	4.0
2016-08-26 04:02:19 PDT	4.0
2016-08-26 04:28:11 PDT	8.0
2016-08-27 00:31:18 PDT	8.0
2016-08-27 00:41:58 PDT	4.0
2016-08-27 02:29:29 PDT	8.0
2016-08-27 02:36:30 PDT	8.0
2016-08-27 02:47:51 PDT	8.0
2016-08-27 02:52:27 PDT	4.0
2016-08-27 02:53:21 PDT	4.0
2016-08-27 02:55:23 PDT	4.0
2016-08-27 18:30:54 PDT	4.0
2016-08-27 18:33:12 PDT	4.0
2016-08-27 18:38:45 PDT	4.0
2016-08-27 18:40:00 PDT	4.0
2016-08-27 18:47:29 PDT	4.0
2016-08-27 18:48:04 PDT	4.0
2016-08-28 00:17:37 PDT	4.0
2016-08-28 00:22:14 PDT	4.0
2016-08-28 00:22:45 PDT	4.0
2016-09-01 04:44:41 PDT	8.0
2016-09-01 04:49:29 PDT	4.0
2016-09-01 04:50:02 PDT	4.0
2016-09-01 04:55:47 PDT	4.0
2016-09-01 05:00:06 PDT	4.0
2016-09-01 05:03:03 PDT	4.0
2016-09-01 05:08:40 PDT	4.0
2016-09-01 05:13:07 PDT	4.0
2016-09-01 05:17:06 PDT	4.0
2016-09-01 05:27:20 PDT	4.0
2016-09-01 05:31:18 PDT	4.0
2016-09-01 05:41:56 PDT	4.0
2016-09-01 05:45:56 PDT	4.0
2016-09-01 05:47:43 PDT	8.0
2016-09-01 05:51:01 PDT	8.0
2016-09-01 06:09:25 PDT	4.0
2016-09-01 06:12:07 PDT	4.0
2016-09-01 06:12:49 PDT	8.0
2016-09-02 04:04:37 PDT	4.0
2016-09-02 04:05:33 PDT	8.0
2016-09-02 04:07:19 PDT	4.0
2016-09-02 04:15:40 PDT	8.0
2016-09-02 04:18:40 PDT	8.0
2016-09-02 04:20:27 PDT	4.0
2016-09-02 04:22:15 PDT	4.0
2016-09-02 04:23:46 PDT	4.0
2016-09-02 04:26:53 PDT	4.0
2016-09-02 04:35:47 PDT	4.0
2016-09-02 04:41:26 PDT	4.0
2016-09-02 04:45:48 PDT	4.0
2016-09-02 04:48:18 PDT	4.0
2016-09-02 04:49:30 PDT	4.0
2016-09-02 04:56:08 PDT	4.0
2016-09-02 05:03:53 PDT	8.0
2016-09-02 05:04:53 PDT	4.0
2016-09-02 05:07:08 PDT	8.0
2016-09-02 05:10:55 PDT	8.0
2016-09-02 05:17:18 PDT	8.0
2016-09-02 05:19:02 PDT	8.0
2016-09-02 05:20:18 PDT	8.0
2016-09-02 05:23:50 PDT	8.0
2016-09-02 05:30:41 PDT	4.0
2016-09-02 05:36:17 PDT	8.0
2016-09-02 05:40:11 PDT	8.0
2016-09-02 05:45:45 PDT	4.0
2016-09-02 05:46:53 PDT	4.0
2016-09-02 05:48:45 PDT	4.0
2016-09-03 00:10:45 PDT	8.0
2016-09-03 00:19:26 PDT	8.0
2016-09-03 00:23:33 PDT	8.0
2016-09-03 00:26:39 PDT	8.0
2016-09-03 00:27:12 PDT	8.0
2016-09-03 00:31:08 PDT	8.0
2016-09-03 05:02:31 PDT	4.0
2016-09-03 05:34:26 PDT	4.0
2016-09-03 05:41:01 PDT	4.0
2016-09-03 05:46:19 PDT	4.0
2016-09-03 05:54:20 PDT	8.0
2016-09-05 01:21:52 PDT	8.0
2016-09-05 03:56:00 PDT	8.0
2016-09-05 04:05:42 PDT	8.0
2016-09-05 04:07:41 PDT	4.0
2016-09-05 04:10:15 PDT	8.0
2016-09-05 04:36:06 PDT	4.0
2016-09-05 04:36:38 PDT	4.0
2016-09-05 04:42:28 PDT	4.0
2016-09-05 04:52:49 PDT	4.0
2016-09-05 04:54:10 PDT	4.0
2016-09-05 04:59:28 PDT	4.0
2016-09-05 05:11:23 PDT	8.0
2016-09-05 05:28:38 PDT	4.0
2016-09-05 05:29:52 PDT	8.0
2016-09-05 05:35:05 PDT	4.0
2016-09-05 05:38:26 PDT	4.0
2016-09-05 05:51:20 PDT	8.0
2016-09-05 05:55:40 PDT	8.0
2016-09-05 06:01:21 PDT	4.0
2016-09-05 06:02:13 PDT	4.0
2016-09-05 06:03:32 PDT	4.0
2016-09-05 06:04:28 PDT	8.0
2016-09-05 18:52:01 PDT	8.0
2016-09-05 19:05:45 PDT	8.0
2016-09-05 19:06:45 PDT	8.0
2016-09-05 19:35:42 PDT	4.0
2016-09-05 19:51:39 PDT	4.0
2016-09-05 19:52:41 PDT	4.0
2016-09-05 21:21:25 PDT	4.0
2016-09-11 00:42:17 PDT	4.0
2016-09-11 01:13:08 PDT	8.0
2016-09-11 01:13:49 PDT	8.0
2016-09-11 01:16:06 PDT	8.0
2016-09-11 01:19:23 PDT	8.0
2016-09-11 01:35:07 PDT	4.0
2016-09-13 04:07:11 PDT	8.0
2016-09-13 04:11:37 PDT	4.0
2016-09-13 04:12:25 PDT	4.0
