Time	Value
2016-07-18 01:57:43 PDT	9.0
2016-07-18 02:17:04 PDT	1.0
2016-07-18 02:17:04 PDT	2.0
2016-07-21 01:53:02 PDT	93.0
2016-07-21 04:11:12 PDT	37.0
2016-07-22 04:44:50 PDT	45.0
2016-07-22 04:45:41 PDT	2.0
2016-07-22 04:46:05 PDT	43.0
2016-07-22 04:46:39 PDT	91.0
2016-07-22 04:56:08 PDT	328.0
2016-07-22 04:56:08 PDT	247.0
2016-07-23 20:32:30 PDT	430.0
2016-07-26 04:11:49 PDT	59.0
2016-07-26 04:18:16 PDT	32.0
2016-07-26 04:27:16 PDT	205.0
2016-07-26 04:29:19 PDT	98.0
2016-07-30 17:51:00 PDT	37.0
2016-07-30 17:51:00 PDT	79.0
2016-07-30 18:25:07 PDT	124.0
2016-07-30 19:14:42 PDT	33.0
2016-07-30 19:26:32 PDT	20.0
2016-07-31 18:17:31 PDT	5.0
2016-07-31 18:27:50 PDT	9.0
2016-07-31 19:02:30 PDT	6.0
2016-07-31 19:22:57 PDT	5.0
2016-07-31 19:51:29 PDT	6.0
2016-07-31 19:55:20 PDT	1.0
2016-07-31 19:55:20 PDT	3.0
2016-07-31 19:55:55 PDT	1.0
2016-07-31 19:55:55 PDT	1.0
2016-07-31 19:56:12 PDT	2.0
2016-07-31 20:03:16 PDT	12.0
2016-07-31 20:05:51 PDT	52.0
2016-07-31 20:06:14 PDT	45.0
2016-07-31 20:06:25 PDT	24.0
2016-07-31 20:09:48 PDT	7.0
2016-07-31 20:13:01 PDT	41.0
2016-07-31 20:17:10 PDT	18.0
2016-07-31 20:23:07 PDT	2.0
2016-08-04 04:18:18 PDT	1146.0
2016-08-04 04:28:21 PDT	52.0
2016-08-05 19:53:25 PDT	2.0
2016-08-06 17:25:40 PDT	17.0
2016-08-06 17:31:38 PDT	2.0
2016-08-06 19:38:10 PDT	1.0
2016-08-06 19:39:21 PDT	20.0
2016-08-09 04:20:56 PDT	17.0
2016-08-09 04:25:01 PDT	79.0
2016-08-09 04:25:47 PDT	205.0
2016-08-09 04:25:59 PDT	218.0
2016-08-10 03:46:36 PDT	1.0
2016-08-10 04:09:10 PDT	135.0
2016-08-10 04:09:47 PDT	45.0
2016-08-10 04:21:59 PDT	229.0
2016-08-10 04:22:29 PDT	68.0
2016-08-10 04:30:44 PDT	377.0
2016-08-12 06:04:42 PDT	467.0
2016-08-12 06:05:07 PDT	65.0
2016-08-13 18:41:28 PDT	311.0
2016-08-13 18:54:46 PDT	8.0
2016-08-13 19:37:24 PDT	160.0
2016-08-13 19:37:24 PDT	251.0
2016-08-13 19:37:41 PDT	1.0
2016-08-13 20:44:36 PDT	9.0
2016-08-14 04:08:24 PDT	4.0
2016-08-14 04:08:39 PDT	7.0
2016-08-14 04:08:56 PDT	98.0
2016-08-14 04:09:22 PDT	64.0
2016-08-19 04:31:52 PDT	403.0
2016-08-19 06:14:34 PDT	199.0
2016-08-19 06:14:49 PDT	200.0
2016-08-20 05:06:49 PDT	87.0
2016-08-20 05:06:49 PDT	285.0
2016-08-20 05:12:49 PDT	22.0
2016-08-20 05:13:36 PDT	191.0
2016-08-20 05:19:55 PDT	9.0
2016-08-20 05:20:08 PDT	11.0
2016-08-20 05:21:07 PDT	280.0
2016-08-20 05:21:41 PDT	16.0
2016-08-20 05:25:57 PDT	188.0
2016-08-20 05:26:53 PDT	96.0
2016-08-20 05:41:54 PDT	23.0
2016-08-20 05:42:56 PDT	28.0
2016-08-20 05:42:56 PDT	395.0
2016-08-20 05:58:58 PDT	332.0
2016-08-20 06:05:04 PDT	80.0
2016-08-20 06:05:34 PDT	34.0
2016-08-20 06:14:01 PDT	229.0
2016-08-20 06:14:27 PDT	79.0
2016-08-20 06:14:39 PDT	37.0
2016-08-20 17:56:35 PDT	211.0
2016-08-20 17:56:35 PDT	4.0
2016-08-20 18:02:50 PDT	3.0
2016-08-20 18:02:58 PDT	10.0
2016-08-20 20:07:53 PDT	24.0
2016-08-20 20:39:01 PDT	37.0
2016-08-26 04:01:30 PDT	9.0
2016-08-27 00:32:18 PDT	59.0
2016-08-27 02:16:45 PDT	12.0
2016-08-27 02:55:54 PDT	16.0
2016-08-27 18:33:40 PDT	1.0
2016-08-27 19:02:48 PDT	8.0
2016-08-28 02:48:04 PDT	229.0
2016-08-28 02:48:04 PDT	79.0
2016-09-01 04:50:33 PDT	178.0
2016-09-01 04:56:44 PDT	486.0
2016-09-01 05:00:51 PDT	31.0
2016-09-01 05:03:32 PDT	43.0
2016-09-01 05:03:51 PDT	1.0
2016-09-01 05:05:42 PDT	328.0
2016-09-01 05:06:10 PDT	71.0
2016-09-01 05:06:10 PDT	96.0
2016-09-01 05:17:38 PDT	188.0
2016-09-01 05:17:38 PDT	16.0
2016-09-01 05:27:59 PDT	13.0
2016-09-01 05:29:41 PDT	128.0
2016-09-01 05:47:08 PDT	7.0
2016-09-02 04:45:00 PDT	32.0
2016-09-02 04:56:35 PDT	235.0
2016-09-02 04:56:35 PDT	356.0
2016-09-02 04:57:24 PDT	196.0
2016-09-02 05:05:38 PDT	1.0
2016-09-02 05:06:10 PDT	4.0
2016-09-02 05:14:56 PDT	53.0
2016-09-02 05:22:48 PDT	237.0
2016-09-02 05:22:48 PDT	61.0
2016-09-02 05:23:08 PDT	1.0
2016-09-03 22:28:28 PDT	1147.0
2016-09-03 22:28:49 PDT	86.0
2016-09-05 01:11:36 PDT	191.0
2016-09-05 04:16:29 PDT	125.0
2016-09-05 04:42:45 PDT	280.0
2016-09-05 04:42:45 PDT	17.0
2016-09-05 04:43:04 PDT	9.0
2016-09-05 05:12:30 PDT	1.0
2016-09-05 05:12:30 PDT	776.0
2016-09-05 05:12:53 PDT	16.0
2016-09-05 05:13:13 PDT	18.0
2016-09-05 05:13:13 PDT	59.0
2016-09-05 05:40:01 PDT	198.0
2016-09-05 05:40:01 PDT	333.0
2016-09-05 18:50:21 PDT	57.0
2016-09-05 18:50:21 PDT	5.0
2016-09-05 19:05:58 PDT	1483.0
2016-09-11 01:13:59 PDT	153.0
2016-09-11 01:14:11 PDT	216.0
2016-09-11 01:25:00 PDT	87.0
2016-09-11 01:35:22 PDT	1.0
2016-09-11 01:35:46 PDT	4.0
2016-09-11 01:35:59 PDT	7.0
2016-09-11 01:36:36 PDT	68.0
2016-09-13 03:36:03 PDT	264.0
2016-09-13 03:55:12 PDT	236.0
2016-09-13 04:05:29 PDT	33.0
2016-09-13 04:11:03 PDT	314.0
2016-09-13 04:11:03 PDT	98.0
2016-09-13 04:14:50 PDT	64.0
2016-09-14 03:41:21 PDT	2.0
2016-09-14 04:05:19 PDT	3.0
2016-09-14 04:07:13 PDT	11.0
2016-09-14 04:11:41 PDT	148.0
2016-09-14 04:13:44 PDT	59.0
2016-09-14 04:22:18 PDT	94.0
2016-09-14 04:22:32 PDT	103.0
2016-09-14 04:22:56 PDT	47.0
2016-09-14 04:26:46 PDT	178.0
2016-09-14 20:41:13 PDT	49.0
2016-09-14 21:13:56 PDT	319.0
2016-09-14 21:19:47 PDT	143.0
2016-09-14 21:20:00 PDT	8.0
2016-09-14 21:28:16 PDT	25.0
2016-09-14 21:28:16 PDT	163.0
2016-09-16 01:28:16 PDT	64.0
2016-09-16 01:28:29 PDT	8.0
2016-09-16 02:01:43 PDT	325.0
2016-09-16 02:12:53 PDT	128.0
2016-09-16 02:14:04 PDT	84.0
2016-09-16 02:14:04 PDT	496.0
2016-09-16 02:14:25 PDT	293.0
2016-09-16 02:14:25 PDT	140.0
2016-09-16 02:22:20 PDT	45.0
2016-09-16 02:27:06 PDT	97.0
2016-09-18 02:30:45 PDT	45.0
2016-09-18 02:31:03 PDT	97.0
2016-09-18 02:33:06 PDT	2.0
2016-09-18 02:33:25 PDT	163.0
2016-09-18 02:37:08 PDT	93.0
2016-09-18 03:02:19 PDT	41.0
2016-09-18 03:05:44 PDT	84.0
2016-09-18 03:05:44 PDT	102.0
2016-09-18 03:14:15 PDT	22.0
2016-09-18 03:21:13 PDT	129.0
2016-09-18 03:33:59 PDT	186.0
2016-09-18 03:34:17 PDT	20.0
2016-09-24 17:09:59 PDT	68.0
2016-09-24 17:15:37 PDT	58.0
2016-09-24 17:22:51 PDT	2.0
2016-09-24 20:35:41 PDT	145.0
2016-09-24 20:43:07 PDT	191.0
2016-09-28 03:44:38 PDT	3.0
2016-09-28 03:45:34 PDT	174.0
2016-09-29 03:31:50 PDT	1.0
