Time	Value
2018-07-13 05:58:46 PDT	1
2018-07-13 05:59:13 PDT	2
2018-07-13 06:10:53 PDT	3
2018-07-13 06:11:01 PDT	4
2018-07-13 06:11:01 PDT	5
2018-07-13 06:11:01 PDT	6
2018-07-13 06:11:01 PDT	7
2018-07-13 06:11:01 PDT	8
2018-07-13 06:11:04 PDT	9
2018-07-13 06:11:12 PDT	10
2018-07-13 06:12:22 PDT	11
2018-07-13 06:12:22 PDT	12
2018-07-13 06:12:23 PDT	13
2018-07-13 06:12:33 PDT	14
2018-07-13 06:15:40 PDT	15
2018-07-13 06:15:44 PDT	16
2018-07-13 06:15:44 PDT	17
2018-07-13 06:16:57 PDT	18
2018-07-13 06:20:04 PDT	19
2018-07-13 06:20:21 PDT	20
2018-07-13 06:20:46 PDT	21
2018-07-13 06:20:46 PDT	22
2018-07-13 06:22:14 PDT	23
2018-07-13 06:22:14 PDT	24
2018-07-13 06:22:21 PDT	25
2018-07-13 06:22:27 PDT	26
2018-07-13 06:26:11 PDT	27
2018-07-13 06:26:11 PDT	28
2018-07-13 06:27:05 PDT	29
2018-07-13 06:27:05 PDT	30
2018-07-13 06:27:31 PDT	31
2018-07-13 06:27:32 PDT	32
2018-07-13 06:27:37 PDT	33
2018-07-13 06:27:37 PDT	34
2018-07-13 06:29:59 PDT	35
2018-07-13 06:30:00 PDT	36
2018-07-13 06:30:09 PDT	37
2018-07-13 06:30:45 PDT	38
2018-07-13 06:34:20 PDT	39
2018-07-13 06:34:22 PDT	40
2018-07-13 06:35:57 PDT	41
2018-07-13 06:36:01 PDT	42
2018-07-13 06:36:02 PDT	43
2018-07-13 06:36:42 PDT	44
2018-07-13 06:41:35 PDT	45
2018-07-13 06:47:49 PDT	46
2018-07-13 06:49:14 PDT	47
2018-07-13 06:49:18 PDT	48
2018-07-13 06:49:32 PDT	49
2018-07-13 06:49:32 PDT	50
2018-07-13 06:51:20 PDT	51
2018-07-13 06:51:53 PDT	52
2018-07-13 06:53:24 PDT	53
2018-07-13 07:01:29 PDT	54
2018-07-13 07:01:29 PDT	55
2018-07-13 07:01:32 PDT	56
2018-07-13 07:01:40 PDT	57
2018-07-13 07:03:08 PDT	58
2018-07-13 07:11:45 PDT	59
2018-07-13 07:11:46 PDT	60
2018-07-13 07:11:53 PDT	61
2018-07-13 07:11:55 PDT	62
2018-07-13 07:11:55 PDT	63
2018-07-13 07:12:12 PDT	64
2018-07-13 07:12:18 PDT	65
2018-07-13 07:12:25 PDT	66
2018-07-13 07:12:25 PDT	67
2018-07-13 07:13:24 PDT	68
2018-07-13 07:13:24 PDT	69
2018-07-13 07:13:44 PDT	70
2018-07-13 07:13:44 PDT	71
2018-07-13 07:13:45 PDT	72
2018-07-13 07:13:46 PDT	73
2018-07-13 07:13:50 PDT	74
2018-07-13 07:13:50 PDT	75
2018-07-13 07:13:50 PDT	76
2018-07-13 07:14:45 PDT	77
2018-07-13 07:14:45 PDT	78
2018-07-13 07:15:11 PDT	79
2018-07-13 07:17:07 PDT	80
2018-07-13 07:17:08 PDT	81
2018-07-13 07:17:08 PDT	82
2018-07-13 07:17:08 PDT	83
2018-07-13 07:17:09 PDT	84
2018-07-13 07:17:14 PDT	85
2018-07-13 07:17:14 PDT	86
2018-07-13 07:17:16 PDT	87
2018-07-13 07:19:06 PDT	88
2018-07-13 07:19:13 PDT	89
2018-07-13 07:19:40 PDT	90
2018-07-13 07:19:54 PDT	91
2018-07-13 07:20:09 PDT	92
2018-07-13 07:20:09 PDT	93
2018-07-13 07:21:36 PDT	94
2018-07-13 07:27:48 PDT	95
2018-07-13 07:29:34 PDT	96
2018-07-13 07:29:34 PDT	97
2018-07-13 07:29:55 PDT	98
2018-07-13 07:29:57 PDT	99
2018-07-13 07:30:25 PDT	100
2018-07-13 07:31:05 PDT	101
2018-07-13 07:36:44 PDT	102
2018-07-13 07:36:46 PDT	103
2018-07-13 07:37:00 PDT	104
2018-07-13 07:44:27 PDT	105
2018-07-13 07:44:29 PDT	106
2018-07-13 07:44:31 PDT	107
2018-07-13 07:44:33 PDT	108
2018-07-13 07:44:33 PDT	109
2018-07-13 07:44:36 PDT	110
2018-07-13 07:53:28 PDT	55
2018-07-13 07:53:28 PDT	57
2018-07-13 07:53:29 PDT	54
2018-07-13 08:33:07 PDT	61
2018-07-13 08:33:18 PDT	54
2018-07-13 08:34:29 PDT	57
2018-07-13 08:34:33 PDT	56
2018-07-13 09:58:13 PDT	111
2018-07-13 10:00:13 PDT	112
2018-07-13 13:16:44 PDT	113
2018-07-13 13:30:28 PDT	114
2018-07-13 13:32:06 PDT	115
2018-07-14 08:06:24 PDT	116
2018-07-14 08:06:34 PDT	117
2018-07-14 08:06:34 PDT	118
2018-07-14 08:07:23 PDT	119
2018-07-15 01:17:49 PDT	120
2018-07-15 01:17:51 PDT	3
2018-07-15 01:17:53 PDT	10
2018-07-15 01:17:55 PDT	121
2018-07-15 01:17:56 PDT	122
2018-07-15 01:17:56 PDT	123
2018-07-15 01:27:24 PDT	13
2018-07-15 01:27:24 PDT	124
2018-07-15 02:18:36 PDT	125
2018-07-15 06:56:00 PDT	126
2018-07-15 06:56:02 PDT	127
2018-07-15 08:10:04 PDT	127
2018-07-15 08:10:22 PDT	126
2018-07-15 08:11:45 PDT	128
2018-07-15 08:12:10 PDT	129
2018-07-15 10:48:18 PDT	130
2018-07-15 10:48:20 PDT	131
2018-07-15 10:48:47 PDT	132
2018-07-15 10:48:47 PDT	133
2018-07-15 10:49:42 PDT	134
2018-07-15 10:49:44 PDT	135
2018-07-15 10:49:59 PDT	136
2018-07-15 10:54:06 PDT	6
2018-07-15 10:54:08 PDT	137
2018-07-15 10:56:01 PDT	138
2018-07-15 10:56:02 PDT	139
2018-07-15 10:56:02 PDT	140
2018-07-15 10:56:05 PDT	4
2018-07-15 10:59:38 PDT	5
2018-07-15 11:07:15 PDT	9
2018-07-15 11:07:21 PDT	11
2018-07-15 11:07:24 PDT	3
2018-07-15 11:08:42 PDT	12
2018-07-15 11:09:13 PDT	7
2018-07-15 11:09:18 PDT	14
2018-07-15 11:12:50 PDT	13
2018-07-15 11:12:50 PDT	141
2018-07-15 11:12:53 PDT	124
2018-07-15 11:12:53 PDT	142
2018-07-15 11:13:37 PDT	121
2018-07-15 11:13:37 PDT	122
2018-07-15 11:13:37 PDT	143
2018-07-15 11:13:37 PDT	144
2018-07-15 11:13:38 PDT	145
2018-07-15 11:13:40 PDT	146
2018-07-15 11:17:40 PDT	147
2018-07-15 11:17:40 PDT	148
2018-07-15 11:17:40 PDT	149
2018-07-15 11:17:40 PDT	150
2018-07-15 11:17:40 PDT	151
2018-07-15 14:13:34 PDT	152
2018-07-16 04:25:28 PDT	153
2018-07-16 11:01:14 PDT	154
2018-07-16 11:01:14 PDT	155
2018-07-16 11:01:18 PDT	156
2018-07-16 11:18:36 PDT	157
2018-07-16 11:26:39 PDT	158
2018-07-16 11:26:39 PDT	159
2018-07-16 12:00:10 PDT	116
2018-07-17 05:02:37 PDT	160
2018-07-17 08:01:46 PDT	161
2018-07-17 08:01:46 PDT	162
2018-07-17 08:01:46 PDT	163
2018-07-17 08:19:25 PDT	23
