Time	Value
2016-07-13 03:47:38 PDT	2200.0
2016-07-14 04:20:20 PDT	2000.0
2016-07-14 04:29:37 PDT	200.0
2016-07-15 00:59:46 PDT	2000.0
2016-07-15 01:00:50 PDT	2000.0
2016-07-15 01:05:46 PDT	2685.0
2016-07-15 05:13:19 PDT	2992.0
2016-07-15 21:33:11 PDT	3495.0
2016-07-16 04:06:05 PDT	5078.0
2016-07-16 04:07:42 PDT	3193.0
2016-07-16 05:57:35 PDT	4308.0
2016-07-17 00:57:37 PDT	1900.0
2016-07-17 01:11:50 PDT	5900.0
2016-07-17 01:22:06 PDT	1000.0
2016-07-17 01:27:15 PDT	3248.0
2016-07-17 01:39:12 PDT	5459.0
2016-07-17 01:57:13 PDT	400.0
2016-07-17 02:45:21 PDT	992.0
2016-07-17 02:46:06 PDT	4426.0
2016-07-18 00:25:50 PDT	990.0
2016-07-18 01:59:39 PDT	7188.0
2016-07-18 02:07:28 PDT	4728.0
2016-07-18 02:09:39 PDT	2400.0
2016-07-18 02:15:33 PDT	4960.0
2016-07-18 02:19:27 PDT	3183.0
2016-07-18 16:25:42 PDT	644.0
2016-07-18 16:35:48 PDT	2788.0
2016-07-18 21:11:36 PDT	3974.0
2016-07-21 01:55:16 PDT	7833.0
2016-07-21 04:11:34 PDT	1992.0
2016-07-21 21:50:32 PDT	4600.0
2016-07-21 21:53:22 PDT	7495.0
2016-07-21 21:54:53 PDT	2688.0
2016-07-21 21:59:32 PDT	7573.0
2016-07-21 22:03:15 PDT	6720.0
2016-07-21 22:11:05 PDT	3057.0
2016-07-22 04:09:24 PDT	1432.0
2016-07-22 04:17:38 PDT	6339.0
2016-07-22 04:22:52 PDT	1454.0
2016-07-22 04:32:33 PDT	7685.0
2016-07-22 04:38:21 PDT	3786.0
2016-07-22 04:41:49 PDT	3233.0
2016-07-22 04:47:56 PDT	4084.0
2016-07-22 04:55:38 PDT	5787.0
2016-07-22 04:58:50 PDT	4083.0
2016-07-22 21:44:22 PDT	7739.0
2016-07-22 21:46:01 PDT	5050.0
2016-07-23 06:29:30 PDT	4896.0
2016-07-23 17:22:23 PDT	2000.0
2016-07-23 17:23:40 PDT	6604.0
2016-07-23 17:28:24 PDT	5947.0
2016-07-23 17:28:29 PDT	59.0
2016-07-23 17:32:16 PDT	5505.0
2016-07-23 19:01:34 PDT	3205.0
2016-07-23 20:11:45 PDT	6994.0
2016-07-23 20:24:06 PDT	1907.0
2016-07-23 20:31:59 PDT	5993.0
2016-07-24 02:34:59 PDT	10809.0
2016-07-24 02:59:09 PDT	2976.0
2016-07-25 05:26:21 PDT	7782.0
2016-07-25 05:31:07 PDT	4580.0
2016-07-25 05:42:51 PDT	2080.0
2016-07-26 03:40:02 PDT	2000.0
2016-07-26 03:58:40 PDT	6895.0
2016-07-26 04:04:34 PDT	13652.0
2016-07-26 04:07:36 PDT	4960.0
2016-07-26 04:11:15 PDT	15736.0
2016-07-26 04:14:43 PDT	6743.0
2016-07-26 04:18:47 PDT	7766.0
2016-07-26 04:23:34 PDT	1101.0
2016-07-26 21:34:35 PDT	6189.0
2016-07-27 02:05:59 PDT	2998.0
2016-07-28 02:01:45 PDT	1525.0
2016-07-28 03:45:54 PDT	3999.0
2016-07-28 04:19:34 PDT	3984.0
2016-07-29 02:59:58 PDT	3848.0
2016-07-29 04:37:34 PDT	3984.0
2016-07-29 04:48:40 PDT	3604.0
2016-07-29 05:03:37 PDT	2992.0
2016-07-29 05:05:19 PDT	5124.0
2016-07-30 17:49:39 PDT	6156.0
2016-07-30 17:55:58 PDT	12976.0
2016-07-30 18:00:49 PDT	2000.0
2016-07-30 18:08:32 PDT	8760.0
2016-07-30 18:11:46 PDT	7851.0
2016-07-30 18:16:14 PDT	7355.0
2016-07-30 18:24:37 PDT	1984.0
2016-07-30 18:31:44 PDT	6624.0
2016-07-30 18:36:54 PDT	3976.0
2016-07-30 19:00:52 PDT	1944.0
2016-07-30 19:01:54 PDT	18904.0
2016-07-30 19:06:05 PDT	9564.0
2016-07-30 19:14:58 PDT	3984.0
2016-07-30 19:21:37 PDT	9194.0
